order_id,product_type,machine_id,quantity_kg,processing_time_hr,energy_gas_kwh,energy_diesel_kwh
ORD-001,P1,M1,350,3.5,157.5,175.0
ORD-001,P1,M2,350,4.375,153.12,175.0
ORD-001,P1,M3,350,2.917,87.5,102.08
ORD-001,P1,M4,350,2.333,35.0,42.0
ORD-002,P2,M1,750,7.5,337.5,375.0
ORD-002,P2,M2,750,9.375,328.12,375.0
ORD-002,P2,M3,750,6.25,187.5,218.75
ORD-002,P2,M4,750,5.0,75.0,90.0
ORD-003,P1,M1,900,9.0,405.0,450.0
ORD-003,P1,M2,900,11.25,393.75,450.0
ORD-003,P1,M3,900,7.5,225.0,262.5
ORD-003,P1,M4,900,6.0,90.0,108.0
ORD-004,P3,M1,650,6.5,292.5,325.0
ORD-004,P3,M3,650,5.417,162.5,189.58
ORD-004,P3,M4,650,4.333,65.0,78.0
ORD-005,P2,M1,450,4.5,202.5,225.0
ORD-005,P2,M2,450,5.625,196.88,225.0
ORD-005,P2,M3,450,3.75,112.5,131.25
ORD-005,P2,M4,450,3.0,45.0,54.0
ORD-006,P1,M1,850,8.5,382.5,425.0
ORD-006,P1,M2,850,10.625,371.88,425.0
ORD-006,P1,M3,850,7.083,212.5,247.92
ORD-006,P1,M4,850,5.667,85.0,102.0
ORD-007,P3,M1,750,7.5,337.5,375.0
ORD-007,P3,M3,750,6.25,187.5,218.75
ORD-007,P3,M4,750,5.0,75.0,90.0
ORD-008,P2,M1,500,5.0,225.0,250.0
ORD-008,P2,M2,500,6.25,218.75,250.0
ORD-008,P2,M3,500,4.167,125.0,145.83
ORD-008,P2,M4,500,3.333,50.0,60.0
ORD-009,P1,M1,700,7.0,315.0,350.0
ORD-009,P1,M2,700,8.75,306.25,350.0
ORD-009,P1,M3,700,5.833,175.0,204.17
ORD-009,P1,M4,700,4.667,70.0,84.0
ORD-010,P3,M1,800,8.0,360.0,400.0
ORD-010,P3,M3,800,6.667,200.0,233.33
ORD-010,P3,M4,800,5.333,80.0,96.0
ORD-011,P1,M1,350,3.5,157.5,175.0
ORD-011,P1,M2,350,4.375,153.12,175.0
ORD-011,P1,M3,350,2.917,87.5,102.08
ORD-011,P1,M4,350,2.333,35.0,42.0
ORD-012,P2,M1,600,6.0,270.0,300.0
ORD-012,P2,M2,600,7.5,262.5,300.0
ORD-012,P2,M3,600,5.0,150.0,175.0
ORD-012,P2,M4,600,4.0,60.0,72.0
ORD-013,P3,M1,800,8.0,360.0,400.0
ORD-013,P3,M3,800,6.667,200.0,233.33
ORD-013,P3,M4,800,5.333,80.0,96.0
ORD-014,P1,M1,500,5.0,225.0,250.0
ORD-014,P1,M2,500,6.25,218.75,250.0
ORD-014,P1,M3,500,4.167,125.0,145.83
ORD-014,P1,M4,500,3.333,50.0,60.0
ORD-015,P2,M1,750,7.5,337.5,375.0
ORD-015,P2,M2,750,9.375,328.12,375.0
ORD-015,P2,M3,750,6.25,187.5,218.75
ORD-015,P2,M4,750,5.0,75.0,90.0
ORD-016,P3,M1,800,8.0,360.0,400.0
ORD-016,P3,M3,800,6.667,200.0,233.33
ORD-016,P3,M4,800,5.333,80.0,96.0
ORD-017,P1,M1,400,4.0,180.0,200.0
ORD-017,P1,M2,400,5.0,175.0,200.0
ORD-017,P1,M3,400,3.333,100.0,116.67
ORD-017,P1,M4,400,2.667,40.0,48.0
ORD-018,P2,M1,600,6.0,270.0,300.0
ORD-018,P2,M2,600,7.5,262.5,300.0
ORD-018,P2,M3,600,5.0,150.0,175.0
ORD-018,P2,M4,600,4.0,60.0,72.0
ORD-019,P3,M1,450,4.5,202.5,225.0
ORD-019,P3,M3,450,3.75,112.5,131.25
ORD-019,P3,M4,450,3.0,45.0,54.0
ORD-020,P1,M1,700,7.0,315.0,350.0
ORD-020,P1,M2,700,8.75,306.25,350.0
ORD-020,P1,M3,700,5.833,175.0,204.17
ORD-020,P1,M4,700,4.667,70.0,84.0
