order_id,due_hour,completion_hour,tardiness_hr,priority
ORD-001,57.0,57.0,0.0,3
ORD-002,64.0,64.0,0.0,4
ORD-003,53.0,53.75,0.75,4
ORD-004,39.0,39.0,0.0,3
ORD-005,92.0,92.0,0.0,3
ORD-006,77.0,78.5,1.5,5
ORD-007,65.0,69.75,4.75,3
ORD-008,116.0,116.0,0.0,3
ORD-009,112.0,112.0,0.0,3
ORD-010,85.0,85.83,0.83,4
ORD-011,130.0,133.58,3.58,3
ORD-012,126.0,124.92,0.0,4
ORD-013,108.0,106.83,0.0,5
ORD-014,169.0,158.5,0.0,3
ORD-015,164.0,164.0,0.0,4
ORD-016,130.0,130.75,0.75,4
ORD-017,182.0,182.0,0.0,3
ORD-018,174.0,171.5,0.0,4
ORD-019,175.0,175.0,0.0,2
ORD-020,203.0,203.0,0.0,4
