order_id,stage,machine_id,start_hr,end_hr
ORD-004,1,M1,8.0,14.5
ORD-001,1,M1,16.5,20.0
ORD-003,1,M1,20.0,29.0
ORD-002,1,M1,31.0,38.5
ORD-006,1,M1,40.5,49.0
ORD-007,1,M1,51.0,58.5
ORD-010,1,M1,58.5,66.5
ORD-005,1,M1,68.5,73.0
ORD-009,1,M1,75.0,82.0
ORD-013,1,M1,84.0,92.0
ORD-008,1,M1,94.0,99.0
ORD-012,1,M1,99.0,105.0
ORD-016,1,M1,107.0,115.0
ORD-011,1,M1,117.0,120.5
ORD-014,1,M1,120.5,125.5
ORD-019,1,M1,128.0,132.5
ORD-015,1,M1,134.5,142.0
ORD-018,1,M1,142.42,148.42
ORD-017,1,M1,150.42,154.42
ORD-020,1,M1,154.42,161.42
ORD-001,2,M2,20.0,24.38
ORD-003,2,M2,29.0,40.25
ORD-002,2,M2,41.75,51.12
ORD-006,2,M2,52.62,63.25
ORD-005,2,M2,74.88,80.5
ORD-009,2,M2,88.75,97.5
ORD-008,2,M2,99.0,105.25
ORD-012,2,M2,105.25,112.75
ORD-011,2,M2,123.96,128.33
ORD-014,2,M2,134.79,141.04
ORD-015,2,M2,142.54,151.92
ORD-018,2,M2,151.92,159.42
ORD-020,2,M2,161.42,170.17
ORD-017,2,M2,171.0,176.0
ORD-004,2,M3,14.5,19.92
ORD-001,3,M3,35.67,38.58
ORD-003,3,M3,40.25,47.75
ORD-002,3,M3,51.12,57.38
ORD-007,2,M3,58.5,64.75
ORD-006,3,M3,65.75,72.83
ORD-010,2,M3,73.83,80.5
ORD-005,3,M3,83.33,87.08
ORD-013,2,M3,92.0,98.67
ORD-009,3,M3,101.5,107.33
ORD-008,3,M3,108.5,112.67
ORD-012,3,M3,112.75,117.75
ORD-016,2,M3,118.75,125.42
ORD-011,3,M3,128.33,131.25
ORD-014,3,M3,147.58,151.75
ORD-015,3,M3,152.75,159.0
ORD-018,3,M3,159.42,164.42
ORD-019,2,M3,165.42,169.17
ORD-020,3,M3,170.17,176.0
ORD-017,3,M3,176.0,179.33
ORD-004,3,M4,34.67,39.0
ORD-003,4,M4,47.75,53.75
ORD-001,4,M4,54.67,57.0
ORD-002,4,M4,59.0,64.0
ORD-007,3,M4,64.75,69.75
ORD-006,4,M4,72.83,78.5
ORD-010,3,M4,80.5,85.83
ORD-005,4,M4,89.0,92.0
ORD-013,3,M4,101.5,106.83
ORD-009,4,M4,107.33,112.0
ORD-008,4,M4,112.67,116.0
ORD-012,4,M4,120.92,124.92
ORD-016,3,M4,125.42,130.75
ORD-011,4,M4,131.25,133.58
ORD-014,4,M4,155.17,158.5
ORD-015,4,M4,159.0,164.0
ORD-018,4,M4,167.5,171.5
ORD-019,3,M4,172.0,175.0
ORD-017,4,M4,179.33,182.0
ORD-020,4,M4,198.33,203.0
