order_id,product_type,machine_id,stage,setup_start,processing_start,finish_time,setup_time,processing_time
ORD-004,P3,M1,1,8.0,8.0,14.5,0.0,6.5
ORD-003,P1,M1,1,14.5,16.5,25.5,2.0,9.0
ORD-004,P3,M3,2,14.5,14.5,19.917,0.0,5.417
ORD-004,P3,M4,3,19.917,19.917,24.25,0.0,4.333
ORD-001,P1,M1,1,25.5,25.5,29.0,0.0,3.5
ORD-003,P1,M2,2,25.5,25.5,36.75,0.0,11.25
ORD-002,P2,M1,1,29.0,31.0,38.5,2.0,7.5
ORD-001,P1,M2,2,36.75,36.75,41.125,0.0,4.375
ORD-003,P1,M3,3,36.75,37.75,45.25,1.0,7.5
ORD-007,P3,M1,1,38.5,40.5,48.0,2.0,7.5
ORD-002,P2,M2,2,41.125,42.625,52.0,1.5,9.375
ORD-001,P1,M3,3,45.25,45.25,48.167,0.0,2.917
ORD-003,P1,M4,4,45.25,45.75,51.75,0.5,6.0
ORD-006,P1,M1,1,48.0,50.0,58.5,2.0,8.5
ORD-007,P3,M3,2,48.167,49.167,55.417,1.0,6.25
ORD-001,P1,M4,4,51.75,51.75,54.083,0.0,2.333
ORD-002,P2,M3,3,55.417,56.417,62.667,1.0,6.25
ORD-007,P3,M4,3,55.417,55.917,60.917,0.5,5.0
ORD-010,P3,M1,1,58.5,60.5,68.5,2.0,8.0
ORD-006,P1,M2,2,58.5,60.0,70.625,1.5,10.625
ORD-002,P2,M4,4,62.667,63.167,68.167,0.5,5.0
ORD-005,P2,M1,1,68.5,70.5,75.0,2.0,4.5
ORD-010,P3,M3,2,68.5,69.5,76.167,1.0,6.667
ORD-009,P1,M1,1,75.0,77.0,84.0,2.0,7.0
ORD-005,P2,M2,2,75.0,76.5,82.125,1.5,5.625
ORD-006,P1,M3,3,76.167,77.167,84.25,1.0,7.083
ORD-010,P3,M4,3,76.167,76.667,82.0,0.5,5.333
ORD-013,P3,M1,1,84.0,86.0,94.0,2.0,8.0
ORD-009,P1,M2,2,84.0,85.5,94.25,1.5,8.75
ORD-005,P2,M3,3,84.25,85.25,89.0,1.0,3.75
ORD-006,P1,M4,4,84.25,84.75,90.417,0.5,5.667
ORD-005,P2,M4,4,90.417,90.917,93.917,0.5,3.0
ORD-008,P2,M1,1,94.0,96.0,101.0,2.0,5.0
ORD-013,P3,M3,2,94.0,95.0,101.667,1.0,6.667
ORD-012,P2,M1,1,101.0,101.0,107.0,0.0,6.0
ORD-008,P2,M2,2,101.0,102.5,108.75,1.5,6.25
ORD-009,P1,M3,3,101.667,102.667,108.5,1.0,5.833
ORD-013,P3,M4,3,101.667,102.167,107.5,0.5,5.333
ORD-016,P3,M1,1,107.0,109.0,117.0,2.0,8.0
ORD-009,P1,M4,4,108.5,109.0,113.667,0.5,4.667
ORD-012,P2,M2,2,108.75,108.75,116.25,0.0,7.5
ORD-008,P2,M3,3,108.75,109.75,113.917,1.0,4.167
ORD-008,P2,M4,4,113.917,114.417,117.75,0.5,3.333
ORD-012,P2,M3,3,116.25,116.25,121.25,0.0,5.0
ORD-011,P1,M1,1,117.0,119.0,122.5,2.0,3.5
ORD-016,P3,M3,2,121.25,122.25,128.917,1.0,6.667
ORD-012,P2,M4,4,121.25,121.25,125.25,0.0,4.0
ORD-015,P2,M1,1,122.5,124.5,132.0,2.0,7.5
ORD-011,P1,M2,2,122.5,124.0,128.375,1.5,4.375
ORD-011,P1,M3,3,128.917,129.917,132.834,1.0,2.917
ORD-016,P3,M4,3,128.917,129.417,134.75,0.5,5.333
ORD-014,P1,M1,1,132.0,134.0,139.0,2.0,5.0
ORD-015,P2,M2,2,132.0,133.5,142.875,1.5,9.375
ORD-011,P1,M4,4,134.75,135.25,137.583,0.5,2.333
ORD-018,P2,M1,1,139.0,141.0,147.0,2.0,6.0
ORD-014,P1,M2,2,142.875,144.375,150.625,1.5,6.25
ORD-015,P2,M3,3,142.875,143.875,150.125,1.0,6.25
ORD-019,P3,M1,1,147.0,149.0,153.5,2.0,4.5
ORD-015,P2,M4,4,150.125,150.625,155.625,0.5,5.0
ORD-018,P2,M2,2,150.625,152.125,159.625,1.5,7.5
ORD-014,P1,M3,3,150.625,151.625,155.792,1.0,4.167
ORD-017,P1,M1,1,153.5,155.5,159.5,2.0,4.0
ORD-019,P3,M3,2,155.792,156.792,160.542,1.0,3.75
ORD-014,P1,M4,4,155.792,156.292,159.625,0.5,3.333
ORD-020,P1,M1,1,159.5,159.5,166.5,0.0,7.0
ORD-017,P1,M2,2,159.625,161.125,166.125,1.5,5.0
ORD-018,P2,M3,3,160.542,161.542,166.542,1.0,5.0
ORD-019,P3,M4,3,160.542,161.042,164.042,0.5,3.0
ORD-020,P1,M2,2,166.5,166.5,175.25,0.0,8.75
ORD-017,P1,M3,3,166.542,167.542,170.875,1.0,3.333
ORD-018,P2,M4,4,166.542,167.042,171.042,0.5,4.0
ORD-017,P1,M4,4,171.042,171.542,174.209,0.5,2.667
ORD-020,P1,M3,3,175.25,175.25,181.083,0.0,5.833
ORD-020,P1,M4,4,181.083,181.083,185.75,0.0,4.667
